Survey Request ID,Survey Request Created At,Survey Request Dispatch At,Person ID,Person Created At,Latest Event,Latest Event Timestamp,Survey Response ID,Survey Response Score,Survey Response Comment,Survey Response Created At,API,Channel,application_id,assignee_name,conversation_id,customer_id,internal_case_tags,product_type
3841940694,2023-03-17 20:28:51,2023-03-16 12:36:58,1335066120,2023-03-17 13:56:35,responded,2023-03-20 20:12:03,290712304.0,10.0,The tuat and easy to use.,2023-03-17 13:16:39,Yes,Email,6331650,Joshua Brady,cf47b79e-4cdc-4912-8665-0be949,64286415,"""[""""EST"""", """"Umbrella Only"""", """"spousal"""", """"Manual Calls"""", """"Action: Confirm Policy IF""""]""",life
3870432129,2023-03-03 15:39:21,2023-03-02 22:46:51,1323249457,2023-03-01 19:40:33,responded,2023-03-01 21:02:01,290664077.0,8.0,"Good aver""  Nhen the ollare and when to process. Represented that I was not because I straight and simuth was easy. They can the we9-a3f-01 14:46:29",2023-03-03 19:04:19,Yes,Email,6255051,Michelle Arc,8cf5b768-1db7-4540-977c-e27446,64126259,"""[""""Umbrella Only"""", """"Manual Calls"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"251604""""]""",life
3864263212,2023-03-17 19:40:02,2023-03-22 18:49:23,1320953571,2023-03-20 19:00:58,responded,2023-03-10 19:58:28,295170384.0,10.0,The me work it indorde.,2023-03-14 19:55:51,Yes,Email,6292871,Rachel Werz,341cbe42-e9f5-4cec-be82-7b7c52,63629815,"""[""""EST"""", """"Umbrella Only"""", """"""""CO:Complex profile"""", """"Added to dialer"""", """"CO:Complex profile""""]""",life
3865529918,2023-03-10 15:57:08,2023-03-13 13:00:17,1332258771,2023-03-30 21:12:46,responded,2023-03-16 13:22:34,294302094.0,10.0,"It made the process. Representative, with change of 10:16:41",2023-03-10 20:20:16,Yes,Email,6323672,Shaunte Hobgood,fd539a9e-b717-4db0-a048-ec6ca6,64271273,"""[""""MST"""", """"Term Upsell Test"""", """"Term Upsell Test"""", """"Action: DS Policy"""", """"Segment 5"""", """"MTR"""", """"251604"""", """"Continue Online Started""""]""",life
3875116172,2023-03-23 18:13:48,2023-03-19 18:50:08,1330820156,2023-03-20 21:22:49,responded,2023-03-31 15:05:27,294422819.0,10.0,sore process and lapert past rocess for questions. All my questions for i used for the process.,2023-03-16 16:53:08,Yes,Email,6382632,Gregory Lyons,42c34336-05f1-475c-b6a4-bc9833,64323314,"""[""""EST"""", """"Umbrella Only"""", """"Action: Release Policy"""", """"Manual Calls"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"Success: Q'd Pilot"""", """"FU: Need More Time 2"""", """"NewReq"""", """"144074"""", """"Term Upsell Test"""", """"MTR"""", """"Segment 6"""", """"MTR"""", """"NoSEcall"""", """"Cent 1"""", """"251604""""]""",life
3865497447,2023-03-22 18:47:10,2023-03-27 14:05:42,1332314776,2023-03-14 18:51:39,responded,2023-03-13 23:35:41,292985527.0,10.0,st  eop provice and easy to use. Has been very took corrate intle of the process and  PG rep up sometime were gat about it!,2023-03-28 16:16:35,Yes,Email,6311401,Customer_Engagement_,ffc86bd7-5973-43cf-ab18-c26a3f,64247522,"""[""""EST"""", """"Umbrella Only"""", """"spousal"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"No Med Feed"""", """"Success: Q'd Pilot"""", """"NewReq"""", """"Price Ranges"""", """"Segment 6"""", """"Action: DS Policy"""", """"MTR"""", """"MTR"""", """"251604"""", """"Continue Online Complete"""", """"Continue Online Started""""]""",life
3849662801,2023-03-08 19:23:25,2023-03-07 19:16:46,1323856479,2023-03-09 13:41:09,responded,2023-03-09 13:41:09,294087151.0,10.0,"The process is sovice in that bot kept manatter searbticitalls, have to cancelt that is policy PG and I needed made the process can got the to informatiore",2023-03-09 15:17:42,Yes,Email,5561203,Shaunte Hobgood,111b999e-d170-4dc0-8e0b-ea7103,62337377,"""[""""EST"""", """"Umbrella Only"""", """"spousal"""", """"Action: Await Placement"""", """"Manual Calls"""", """"DR Policy Released in eDelivery"""", """"auto_generate"""", """"10.23SN"""", """"15234073"""", """"81373"""", """"CE 1"""", """"251604"""", """"Continue Online Complete"""", """"Continue Online Started"""", """"CO:Complex profile""""]""",life
3841921191,2023-03-06 19:08:19,2023-03-01 18:59:45,1335271191,2023-03-09 15:37:39,responded,2023-03-02 02:46:23,290695101.0,8.0,"Great customer service, a great process and helpful prices",2023-03-09 13:49:23,Yes,Email,6318194,Joshua Brady,55708931-aba5-4def-8ff0-772f04,64260706,"""[""""EST"""", """"Umbrella Only"""", """"tempcovg"""", """"Action: Await Placement"""", """"Manual Calls"""", """"DR AOTA"""", """"DR AOTA"""", """"DR Policy Released in DS"""", """"AAPrice Ranges"""", """"Segment 6"""", """"Coverage Help Requested"""", """"Continue Online Complete"""", """"Continue Online Started"""", """"Added to dialer""""]""",life
3847989129,2023-03-09 15:13:15,2023-03-01 19:56:46,1335607636,2023-03-01 19:16:56,responded,2023-03-09 18:53:27,293926666.0,10.0,"They thound expectations been I mess and very responsive, but it’s comparing helpful.",2023-03-08 14:55:29,Yes,Email,6232264,Maxine Wydrzynski,66b0db7d-4fce-4473-9cd7-6a1928,5297180,"""[""""EST"""", """"Umbrella Only"""", """"Action: Await Placement"""", """"Manual Calls"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"AU: BH RUW"""", """"AUBH"""", """"DR BH AU Payment via DocuSign"""", """"Start_75216"""", """"152959"""", """"UWA APS"""", """"Term Upsell Test"""", """"APS Received"""", """"Action: Confirm Policy IF""""]""",life
3866211675,2023-03-27 14:05:23,2023-03-14 12:01:06,1322370156,2023-03-27 18:22:04,responded,2023-03-15 20:12:03,291762663.0,10.0,The ended but it took wrore my easy to understand in process competitive,2023-03-10 14:46:31,Yes,Email,6374786,Beth Caporaso,04262ef5-b1e6-4a5c-a933-7c5dfa,64057920,"""[""""EST"""", """"Umbrella Only"""", """"tempcovg"""", """"DR Count DRs Processed"""", """"Action: Release Policy"""", """"Manual Calls"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"AU: BH RUW"""", """"AUBH"""", """"DR BH AU Payment via DocuSign"""", """"No Med Feed"""", """"AU Knockout"""", """"NewReq"""", """"Start_75216"""", """"150211"""", """"150211"""", """"144074"""", """"FE-Eligible""""]""",life
3850369615,2023-03-22 18:44:39,2023-03-13 18:13:31,1327859162,2023-03-16 12:06:08,responded,2023-03-31 21:21:50,294165286.0,10.0,deison thate. They dik was very easy to work with. Super meang the updates and straight for my responses pronce the knowledge table sher long to deal with. Great customer service and efficient service and easy to use.,2023-03-16 13:24:50,Yes,Email,6187850,Jon Cesr,59bb7865-e06d-4c91-98b2-569da8,63937166,"""[""""EST"""", """"Umbrella Only"""", """"spousal"""", """"tempcovg"""", """"tempcovg"""", """"DR Count DRs Processed"""", """"Action: Await Placement"""", """"Manual Calls"""", """"AU"""", """"No Med Feed"""", """"AU Knockout"""", """"NewReq"""", """"CS: AOTA Primer"""", """"Price Ranges"""", """"Segment 11"""", """"MTR"""", """"APS Received"""", """"NoSEcall"""", """"Continue Online Complete"""", """"Continue Online Started"""", """"Added to dialer""""]""",life
3849573917,2023-03-28 20:48:10,2023-03-17 22:39:31,1323156081,2023-03-21 18:38:27,responded,2023-03-10 16:33:02,294130062.0,10.0,10-03-31 15:48:10,2023-03-15 18:59:35,Yes,Email,6344024,Josh Dunn,1b7db48e-077a-4915-8828-42e804,64363226,"""[""""PST"""", """"Umbrella Only"""", """"Manual Calls"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"No Med Feed"""", """"Action: AU BH Accepted"""", """"DR BH AU Payment via DocuSign"""", """"75216"""", """"Price Ranges"""", """"Term Upsell Test"""", """"CE 2"""", """"Segment 3"""", """"Banner AU Interview Complete"""", """"Banner AU Offer Accepted"""", """"Segment 6"""", """"Continue Online Started"""", """"Added to dialer""""]""",life
3849733477,2023-03-01 19:46:28,2023-03-06 14:55:28,1326316237,2023-03-08 19:23:25,responded,2023-03-06 19:57:09,293893387.0,10.0,"Great customer service, quick easy to use.",2023-03-24 14:42:36,Yes,Email,6166972,Annie Middelberg,7e04f687-52e5-49c8-8478-379a0b,63890605,"""[""""Umbrella Only"""", """"Action: Await Placement"""", """"Manual Calls"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"Action: Delivery First Call"""", """"offer_POC_qc"""", """"Manual Calls"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"Action: AU BH Accepted"""", """"AUBH"""", """"Price Ranges"""", """"Segment 6"""", """"Segment 11"""", """"APS Received"""", """"Final Review""""]""",life
3871181405,2023-03-21 18:36:38,2023-03-31 15:49:10,1335088792,2023-03-17 18:38:19,responded,2023-03-17 13:26:54,290938612.0,10.0,The policy genius with Pulal of the shan as a pounted throughout the process years.,2023-03-16 16:04:51,Yes,Email,6371967,Keenan Nessl,38df3bc8-53f9-422d-9a6d-61e944,64364503,"""[""""CST"""", """"Umbrella Only"""", """"spousal"""", """"Action: Await Placement"""", """"Manual Calls"""", """"DR AOTA"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"Action: Delivery First Call"""", """"Action: AU BH Accepted"""", """"AUBH"""", """"75216"""", """"Price Ranges"""", """"Term Upsell Test"""", """"CE 2"""", """"Segment 10"""", """"251604"""", """"NoSEcall"""", """"Action: Temporary Coverage""""]""",life
3850308425,2023-03-31 17:37:42,2023-03-23 13:14:28,1324973237,2023-03-24 12:04:51,responded,2023-03-15 18:59:45,294833380.0,10.0,"Fapt weme ond something.. you good customer service, atted with the hand experience made all later that I was to deal with.",2023-03-14 18:51:39,Yes,Email,6253585,Lori Resnick,8c725357-434e-4b76-4463-67d3a7,64122027,"""[""""EST"""", """"Umbrella Only"""", """"Manual Calls"""", """"Action: VIP"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"Cced"""", """"Continue Online Complete"""", """"Continue Online Started"""", """"Added to dialer"""", """"Carrierfeed_offer"""", """"carrierfeed_policyIF"""", """"Action: Confirt """"Action: Temporary Coverage""""]""",life
3842402411,2023-03-16 13:25:14,2023-03-15 13:50:50,1319490409,2023-03-17 12:36:38,responded,2023-03-29 21:57:42,292106865.0,9.0,"Great  it life sysort of the process for ever to neessionals and important policy very professional, highly responsive. The staff. I had borme my questions.",2023-03-17 13:56:06,Yes,Email,6315001,Gregory Lyons,75314836-63cd-4019-b05c-bcdaa4,64254949,"""[""""CST"""", """"Umbrella Only"""", """"Manual Calls"""", """"DR Policy Released in eDelivery"""", """"AU"""", """"Action: AU"""", """"No Med Feed"""", """"10.23SN"""", """"Start_75216"""", """"152959"""", """"Price Ranges"""", """"Segment 11"""", """"MTR"""", """"Coverage Help Requested"""", """"NoSEcall"""", """"Continue Online Started"""", """"Added to dialer""""]""",life
3864733932,2023-03-21 18:06:15,2023-03-21 17:59:50,1245251702,2023-03-21 18:06:14,responded,2023-03-21 21:01:05,294377303.0,9.0,"Very responsive, helpful and kept me posted throughout the process.",2023-03-21 19:34:49,Yes,Email,5884526,Logan Cuilla,05154671-08bd-4c60-b22d-476cfd,55902817,"[""MST"", ""Umbrella Only"", ""spousal"", ""Non-Med"", ""DR Approved Better Than Applied"", ""Action: Await Placement"", ""Manual Calls"", ""DR Policy Released in eDelivery"", ""FU: No Contact"", ""Action: Non-Med"", ""AU"", ""Action: AU"", ""No Med Feed"", ""Success: Q'd Pilot"", ""FU: No Contact 7"", ""150211"", ""Trans Nonmed"", ""SE+14"", ""Trans Pt2 Pilot"", ""Trans Pt2 Complete"", ""Price Ranges"", ""Term Upsell Test"", ""Segment 5"", ""NoSEcall""]",life
3844256137,2023-03-06 19:57:39,2023-03-06 18:27:10,1209015108,2023-03-06 14:53:28,responded,2023-03-07 19:33:29,291347080.0,8.0,"Terrible experience, took months and months to get coverage all because the first Policygenius rep misrepresented what I said in the initial application for coverage",2023-03-11 12:23:20,Yes,Email,5642380,Dana Robinson,7d018920-eb43-40db-9f0b-d11725,61914772,"[""Umbrella Only"", ""QCed"", ""Action: Await Placement"", ""Manual Calls"", ""AU"", ""Action: AU"", ""No Med Feed"", ""offer_POC_qc"", ""AU Knockout"", ""Action: assign SE 1k+"", ""NewReq"", ""APS Received"", ""NoSEcall"", ""Final Review"", ""PAL+"", ""Action: PAL+""]",life
3857052112,2023-03-31 15:05:31,2023-03-31 20:58:29,1251049471,2023-03-31 17:37:43,responded,2023-03-31 16:46:33,293253503.0,7.0,Very good customer service and very professional.,2023-03-31 21:46:05,Yes,Email,6094379,Customer_Engagement_,5980c219-753e-4478-9764-d486f6,60407575,"[""CST"", ""Umbrella Only"", ""DR Count DRs Processed"", ""Action: Await Placement"", ""Manual Calls"", ""DR Policy Released in eDelivery"", ""Action: Non-Med"", ""AU"", ""Action: AU"", ""No Med Feed"", ""Success: Q'd Pilot"", ""AAA reviewed"", ""150211"", ""152959"", ""75216"", ""Price Ranges"", ""Segment 6"", ""MTR"", ""Continue Online Started"", ""Added to dialer""]",life
3866360817,2023-03-01 19:27:40,2023-03-02 12:53:21,971949035,2019-01-09 16:27:23,responded,2023-03-01 21:14:42,294264865.0,7.0,"Terrible experience, took months and months to get coverage all because the first Policygenius rep misrepresented what I said in the initial application for coverage",2023-03-01 19:41:09,Yes,Email,4320884,Vanessa Carrillo,0152cd66-bdc7-4ac5-8a98-f09169,46600420,"[""Umbrella Only"", ""tempcovg"", ""DR Policy Released in eDelivery"", ""Action: Delivery First Call"", ""New Offer - Feed Update"", ""Start_75216"", ""144074"", ""75216"", ""SE+14"", ""Term Upsell Test"", ""NoSEcall"", ""Action: Temporary Coverage"", ""Carrierfeed_offer"", ""carrierfeed_policyIF"", ""Action: Confirm Policy IF""]",life
3864731145,2023-03-01 13:15:05,2023-03-01 13:15:05,1253122363,2023-03-08 19:38:42,responded,2023-03-01 15:41:17,293569775.0,10.0,"It took too long and i had to repeat several different ""forms/information"" until we finally did get the policy complete. It was a big policy so i get covering details, but i feel the process was cumbersome.",2023-03-08 21:15:28,Yes,Email,4999552,Michelle Arc,7265038f-c6bb-4f26-8b48-45f159,53542044,"[""Umbrella Only"", ""DR Count DRs Processed"", ""Action: Await Placement"", ""DR Policy Released in DS"", ""AU"", ""Action: AU"", ""DR Upsell Accepted"", ""No Med Feed"", ""offer_POC_qc"", ""AU Knockout"", ""CS: PI f/u 1"", ""NewReq"", ""CMCSE"", ""Term Upsell Test"", ""MTR"", ""PAL+"", ""Action: PAL+""]",life
3845672925,2023-03-02 13:01:50,2023-03-02 20:12:10,1182718326,2023-03-02 18:57:59,responded,2023-03-02 22:46:51,291174267.0,9.0,They stayed on top of everything and helped me when I needed help,2023-03-04 00:07:31,Yes,Email,5750458,Billy Baron,4112a905-197d-424e-8c73-4062c3,59958946,"[""PST"", ""Umbrella Only"", ""DR Count DRs Processed"", ""Action: Await Placement"", ""Manual Calls"", ""DR Policy Released in eDelivery"", ""New Offer - Feed Update"", ""auto_generate"", ""Success: Q'd Pilot"", ""10.23SN"", ""NewReq"", ""Start_75216"", ""CMCSE"", ""Price Ranges"", ""Term Upsell Test"", ""Segment 11"", ""MTR"", ""Added to dialer""]",life
3867088752,2023-03-22 19:45:37,2023-03-23 18:13:48,1220588420,2023-03-24 12:39:09,responded,2023-03-23 13:01:07,294127171.0,10.0,They stayed on top of everything and helped me when I needed help,2023-03-22 19:57:06,Yes,Email,6113732,Bonnie Gartland,aeaf5cd4-60f0-4f3f-9508-3fd1f2,58095968,"[""CST"", ""Umbrella Only"", ""Action: Release Policy"", ""Manual Calls"", ""AU"", ""No Med Feed"", ""AU: BH RUW"", ""AUBH"", ""DR BH AU Payment via DocuSign"", ""Start_75216"", ""75216"", ""Price Ranges"", ""Segment 5"", ""Continue Online Complete"", ""Continue Online Started"", ""CO:Complex profile""]",life
